metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
108,4+kk,A,Ve velmi dobrém stavu,stredocesky-kraj,6995000,https://www.sreality.cz/detail/prodej/byt/4+kk/velvary-velvary-/387859788
153,4+kk,B,Novostavba,praha,21835000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-repy-u-lesoparku/2469397068
62,3+kk,C,Novostavba,praha,10290000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hostivar-prazska/2301805132
127,4+kk,G,Po rekonstrukci,praha,26000000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-stare-mesto-liliova/4136460876
49,2+kk,G,Po rekonstrukci,praha,9697000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dejvice-studentska/1040270668
76,3+kk,C,Ve velmi dobrém stavu,jihocesky-kraj,6500000,https://www.sreality.cz/detail/prodej/byt/3+kk/frymburk-kovarov-/141505100
40,2+kk,G,Ve velmi dobrém stavu,ustecky-kraj,3290000,https://www.sreality.cz/detail/prodej/byt/2+kk/louny-louny-u-stadionu/147677772
93,3+kk,B,Novostavba,stredocesky-kraj,5598000,https://www.sreality.cz/detail/prodej/byt/3+kk/kolin-kolin-v-tridvorska/738796108
101,4+kk,B,Novostavba,stredocesky-kraj,8609500,https://www.sreality.cz/detail/prodej/byt/4+kk/kolin-kolin-v-tridvorska/587801164
91,4+kk,G,Ve velmi dobrém stavu,praha,9400000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-ujezd-nad-lesy-slitrova/3365413452
100,4+kk,D,Ve velmi dobrém stavu,praha,12490000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-nad-ohradou/2085483084
35,1+kk,G,V dobrém stavu,praha,5900000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-strasnice-nad-primaskou/3155231308
51,2+kk,B,Novostavba,praha,11990000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-smrckova/3759211084
36,1+kk,B,Novostavba,praha,6202530,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vrsovice-murmanska/2249908812
77,3+kk,B,Novostavba,praha,12995519,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-modrany-zlochova/2776633932
82,3+kk,G,Novostavba,praha,12490000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-hrdlorezska/2369786444
50,2+kk,C,Novostavba,praha,7150000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kyje-davidovicova/391340620
76,2+kk,B,Novostavba,jihomoravsky-kraj,16504504,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-pisarky-nad-pisarkami/1485169228
44,2+kk,G,V dobrém stavu,praha,6163000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-hanusova/3111830092
34,1+kk,G,Novostavba,praha,5342400,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-tupolevova/612569676
32,1+kk,C,Ve velmi dobrém stavu,praha,5850000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kosire-starokosirska/532685388
36,1+kk,C,Novostavba,plzensky-kraj,5595000,https://www.sreality.cz/detail/prodej/byt/1+kk/kasperske-hory-kasperske-hory-namesti/2752934476
51,1+kk,B,Novostavba,jihocesky-kraj,5400000,https://www.sreality.cz/detail/prodej/byt/1+kk/volary-chlum-/300905036
71,2+kk,B,Novostavba,jihocesky-kraj,7200000,https://www.sreality.cz/detail/prodej/byt/2+kk/volary-chlum-/4259279436
54,1+kk,C,Novostavba,plzensky-kraj,7395000,https://www.sreality.cz/detail/prodej/byt/1+kk/kasperske-hory-kasperske-hory-namesti/2534830668
65,3+kk,G,Ve velmi dobrém stavu,praha,12200000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-italska/1273958988
79,3+kk,A,Novostavba,praha,13636000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radlice-u-komina/2665153100
58,1+kk,B,Novostavba,jihocesky-kraj,4700000,https://www.sreality.cz/detail/prodej/byt/1+kk/volary-chlum-/3354358348
78,2+kk,C,Novostavba,plzensky-kraj,8995000,https://www.sreality.cz/detail/prodej/byt/2+kk/kasperske-hory-kasperske-hory-namesti/1997959756
141,4+kk,C,Ve velmi dobrém stavu,praha,19990000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-premyslovska/1162056268
70,2+kk,G,Po rekonstrukci,praha,13500000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-bubenec-narodni-obrany/43188812
46,2+kk,C,Ve velmi dobrém stavu,praha,5890000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-ceneticka/4044104268
59,2+kk,B,Novostavba,stredocesky-kraj,7375000,https://www.sreality.cz/detail/prodej/byt/2+kk/jilove-u-prahy-jilove-u-prahy-/2794283596
59,2+kk,C,Ve velmi dobrém stavu,praha,8900000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-novakovych/1422684748
74,2+kk,B,Novostavba,praha,12990000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-petrohradska/1334604364
70,3+kk,C,Po rekonstrukci,praha,9170000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kobylisy-kankovskeho/3268239948
71,2+kk,C,Novostavba,praha,10513900,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hostivar-prazska/2066924108
85,3+kk,C,V dobrém stavu,praha,12500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-brezenska/4016992844
129,4+kk,B,Novostavba,stredocesky-kraj,18500000,https://www.sreality.cz/detail/prodej/byt/4+kk/jesenice-jesenice-rackova/1026126412
127,4+kk,G,Po rekonstrukci,praha,26000000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-stare-mesto-liliova/4136460876
59,2+kk,C,Ve velmi dobrém stavu,praha,8900000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-novakovych/1422684748
53,2+kk,B,Novostavba,stredocesky-kraj,7900000,https://www.sreality.cz/detail/prodej/byt/2+kk/jesenice-jesenice-rackova/2183754316
96,2+kk,B,Novostavba,jihocesky-kraj,9500000,https://www.sreality.cz/detail/prodej/byt/2+kk/volary-chlum-/1357869644
44,2+kk,B,Novostavba,praha,6499000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hostavice-pasecka/3891851852
52,2+kk,B,Novostavba,praha,7917016,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hrdlorezy-hrdlorezska/2133324364
99,4+kk,B,Ve velmi dobrém stavu,liberecky-kraj,7110000,https://www.sreality.cz/detail/prodej/byt/4+kk/jablonec-nad-nisou-jablonec-nad-nisou-zemedelska/137937484
74,3+kk,G,Novostavba,praha,13123000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-maroldova/3723789644
128,3+kk,C,Ve velmi dobrém stavu,praha,14500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-bublikova/2822988364
41,2+kk,C,Ve velmi dobrém stavu,praha,5200000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zabehlice-choceradska/2281267788
67,3+kk,B,Novostavba,stredocesky-kraj,6390000,https://www.sreality.cz/detail/prodej/byt/3+kk/kolin-kolin-v-tridvorska/1980310092
153,4+kk,B,Novostavba,praha,27000000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kosire-na-pomezi/1988297292
54,2+kk,D,Ve velmi dobrém stavu,stredocesky-kraj,6500000,https://www.sreality.cz/detail/prodej/byt/2+kk/jesenice-jesenice-mezi-domy/3658904140
109,3+kk,F,Ve velmi dobrém stavu,jihomoravsky-kraj,10490000,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-ponava-rybnicek/2362966604
40,1+kk,C,Po rekonstrukci,olomoucky-kraj,3290000,https://www.sreality.cz/detail/prodej/byt/1+kk/rapotin-rapotin-vyzkumniku/2904765004
47,2+kk,B,Novostavba,liberecky-kraj,4210416,https://www.sreality.cz/detail/prodej/byt/2+kk/liberec-liberec-x-frantiskov-vojanova/2539008588
129,4+kk,B,Novostavba,stredocesky-kraj,18500000,https://www.sreality.cz/detail/prodej/byt/4+kk/jesenice-jesenice-rackova/1026126412
61,2+kk,B,Novostavba,ustecky-kraj,4589900,https://www.sreality.cz/detail/prodej/byt/2+kk/teplice-teplice-novoveska/4211243100
100,3+kk,A,Novostavba,praha,20244000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radlice-u-komina/2883068492
43,1+kk,B,Novostavba,liberecky-kraj,3444560,https://www.sreality.cz/detail/prodej/byt/1+kk/liberec-liberec-x-frantiskov-vojanova/2195796556
170,4+kk,C,Novostavba,praha,22990000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-jinonice-reporyjska/1966518860
78,3+kk,G,Ve velmi dobrém stavu,jihomoravsky-kraj,8500000,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-veveri-veveri/3694178892
48,2+kk,C,Novostavba,stredocesky-kraj,4999000,https://www.sreality.cz/detail/prodej/byt/2+kk/kolin-kolin-iv-zengrova/562913868
165,2+kk,G,Po rekonstrukci,praha,52900000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-mala-strana-lazenska/1191748172
50,2+kk,E,Po rekonstrukci,praha,7749000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-zenklova/1842025036
48,2+kk,B,Novostavba,praha,7607504,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-praha-9-/298168908
126,3+kk,G,Po rekonstrukci,praha,22000000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-francouzska/265028172
47,2+kk,C,Novostavba,praha,8285200,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hostivar-prazska/1764934220
153,4+kk,B,Novostavba,praha,21835000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-repy-u-lesoparku/2469397068
26,1+kk,B,Novostavba,praha,4990000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zbraslav-elisky-premyslovny/1397568076
71,2+kk,C,Novostavba,praha,10513900,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hostivar-prazska/2066924108
348,4+kk,B,Novostavba,praha,39900000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kosire-na-pomezi/4043899468
185,5+kk,G,Ve velmi dobrém stavu,praha,34500000,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-stare-mesto-michalska/576303692
168,4+kk,B,Ve velmi dobrém stavu,praha,24000000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-modrany-na-srazku/2527003212
